Column1,Column2,Column3,Column4,Column5,Column6
racg.157,12051,-25967.890,16663.5997,-0.714,t
racg.158,12051,-25977.145,16663.60406,-0.609,t
racg.198,38529,-9116.551,16663.74287,-1.127,t
racg.199,38529,-9125.801,16663.74629,-1.045,t
racg.200,38529,-9135.319,16663.7498,-0.960,t
racg.201,38529,-9143.807,16663.75291,-0.885,t
racg.202,38529,-9151.630,16663.75577,-0.817,t
racg.203,38529,-9159.128,16663.7585,-0.751,t
racg.204,38529,-9166.234,16663.76109,-0.689,t
rack.154,GL87,-29558.595,16671.62016,0.116,t
rack.155,GL87,-29650.608,16671.65896,1.049,t
rack.156,GL87,-29747.524,16671.70295,2.108,t
rack.182,51419,-5448.288,16671.84238,0.585,t
rack.183,51419,-5460.627,16671.84704,0.697,t
rack.184,51419,-5473.065,16671.85177,0.811,t
rack.185,51419,-5485.622,16671.85656,0.926,t
rack.186,51419,-5497.263,16671.86103,1.033,t
racl.166,219134,-17671.786,16674.60474,2.950,t
racl.167,219134,-17673.600,16674.60679,2.999,t
racl.168,219134,-17675.491,16674.60895,3.051,t
racl.169,219134,-17677.227,16674.61096,3.100,t
racl.170,219134,-17678.969,16674.61301,3.149,t
racl.171,219134,-17680.589,16674.61495,3.196,t
racl.172,219134,-17682.103,16674.61677,3.240,t
racl.212,51419,-6976.892,16674.82906,0.463,t
racl.213,51419,-6994.299,16674.83563,0.621,t
racl.214,51419,-7011.522,16674.84217,0.778,t
racl.215,51419,-7030.951,16674.8496,0.957,t
racl.216,51419,-7050.972,16674.85733,1.143,t
racl.217,51419,-7069.814,16674.86469,1.320,t
racl.218,51419,-7087.654,16674.87175,1.490,t
racm.231,127334,18247.542,16675.89215,-5.364,t
racm.232,127334,18245.338,16675.89778,-5.228,t
racm.233,127334,18242.841,16675.90332,-5.095,t
racm.234,127334,18240.205,16675.9085,-4.970,t
racm.235,127334,18237.359,16675.91356,-4.849,t
racm.236,127334,18234.416,16675.91835,-4.733,t
racm.237,127334,18231.457,16675.92282,-4.626,t
racm.244,84035,7096.054,16675.94318,0.536,t
racm.245,84035,7082.680,16675.9494,0.686,t
racm.246,84035,7069.576,16675.95554,0.834,t
racn.156,69830,4333.192,16678.86828,0.351,t
racn.157,69830,4321.782,16678.8725,0.452,t
racn.158,69830,4310.369,16678.87672,0.554,t
racn.159,69830,4298.526,16678.88112,0.659,t
racn.160,69830,4286.545,16678.88559,0.767,t
racn.161,69830,4275.328,16678.88979,0.868,t
racn.162,69830,4264.290,16678.89394,0.968,t
raco.155,221354,-17730.551,16679.61402,3.200,t
raco.156,221354,-17737.321,16679.6229,3.414,t
raco.157,221354,-17742.369,16679.62995,3.583,t
raco.158,221354,-17747.364,16679.63738,3.762,t
raco.159,221354,-17751.987,16679.64476,3.940,t
raco.160,221354,-17756.277,16679.65218,4.118,t
raco.161,221354,-17760.221,16679.65963,4.298,t
raco.186,PSNJ09554214+69,-762.175,16679.77888,-3.326,t
raco.207,PSNJ09554214+69,-894.490,16679.90748,-0.231,t
raco.208,PSNJ09554214+69,-910.789,16679.92182,0.114,t
raco.209,PSNJ09554214+69,-927.232,16679.93631,0.463,t
racp.217,PSNJ0955+6940,-2006.216,16683.03396,3.010,t
racp.218,PSNJ0955+6940,-2012.416,16683.04095,3.179,t
racp.219,PSNJ0955+6940,-2018.736,16683.0483,3.356,t
racq.155,1461,-24846.019,16683.60393,2.504,t
racq.156,1461,-24850.874,16683.60711,2.581,t
racq.157,1461,-24855.122,16683.60995,2.649,t
racq.158,1461,-24859.548,16683.61295,2.722,t
racq.159,1461,-24863.822,16683.61592,2.793,t
racq.224,PSNJ0955+6940,-2208.847,16683.91705,0.263,t
racq.225,PSNJ0955+6940,-2217.239,16683.92446,0.441,t
racq.226,PSNJ0955+6940,-2225.156,16683.93148,0.610,t
racr.203,PSNJ0955+6940,-4150.553,16689.92112,0.757,t
racr.204,PSNJ0955+6940,-4158.884,16689.92862,0.937,t
racr.205,PSNJ0955+6940,-4167.045,16689.93603,1.115,t
ract.165,PSNJ0955+6940,-5370.330,16693.884,0.128,t
ract.166,PSNJ0955+6940,-5378.477,16693.89127,0.302,t
ract.167,PSNJ0955+6940,-5387.173,16693.89905,0.490,t
racw.155,22049,-26413.453,16705.62336,1.125,t
racw.156,22049,-26417.577,16705.6253,1.171,t
racw.157,22049,-26421.708,16705.62726,1.218,t
racw.158,22049,-26425.677,16705.62915,1.264,t
racw.159,22049,-26429.169,16705.63081,1.304,t
racw.200,PSNJ0955+6940,-8949.815,16705.89655,1.225,t
racw.201,PSNJ0955+6940,-8964.435,16705.9106,1.563,t
racw.202,PSNJ0955+6940,-8979.498,16705.92549,1.922,t
