Name,Teff [K],e_Teff [K],R* [Rsun],e_R* [Rsun],log(g) [cm/s2],e_log(g) [cm/s2],[Fe/H] [sun],e_[Fe/H] [sun],M* [Msun],e_M* [Msun],logAge [yr],e_logAge [yr],plx [mas],Vmag [mag],Notes,SCat,Gaia,2M,Simbad,_RA [deg],_DE [deg]
HD 38858    ,5646, 45, 0.933, 0.016, 4.46, 0.04,-0.22, 0.10, 0.91, 0.07, 9.81, 0.28, 65.6, 6.0,"E,1",  1,Gaia,2M,Simbad,087.14558,-04.09465
HD 39587    ,5898, 25, 0.979, 0.009, 4.47, 0.02,-0.04, 0.10, 1.04, 0.04, 9.27, 0.28,115.4, 4.4,"E,2",  1,Gaia,2M,Simbad,088.59576,+20.27617
HD 4628     ,4950, 14, 0.695, 0.004, 4.63, 0.02,-0.22, 0.10, 0.75, 0.03, 9.41, 0.44,134.0, 5.7,"E,2",  1,Gaia,2M,Simbad,012.09574,+05.28061
HD 48737    ,6478, 21, 2.710, 0.021, 3.80, 0.01, 0.14, 0.10, 1.70, 0.04, 9.23, 0.03, 57.0, 3.4,"E,2",  0,Gaia,2M,Simbad,101.32235,+12.89559
HD 49933    ,6635, 90, 1.420, 0.040, 4.21, 0.05,-0.39, 0.10, 1.18, 0.09, 9.49, 0.16, 33.8, 5.8,"E,1",  1,Gaia,2M,Simbad,102.70763,-00.54088
HD 58946    ,6738, 55, 1.655, 0.028, 4.12, 0.03,-0.25, 0.10, 1.32, 0.09, 9.39, 0.11, 54.1, 4.2,"E,2",  0,Gaia,2M,Simbad,112.27800,+31.78455
HD 6210     ,6089, 35, 4.517, 0.152, 3.37, 0.05,-0.01, 0.10, 1.70, 0.15, 9.21, 0.07, 12.8, 5.8,"E,1",  0,Gaia,2M,Simbad,016.08105,+61.58018
HD 69897    ,6130, 58, 1.387, 0.028, 4.19, 0.04,-0.26, 0.10, 1.07, 0.08, 9.73, 0.12, 55.2, 5.1,"E,2",  1,Gaia,2M,Simbad,125.01609,+27.21771
HD 75732    ,5172, 18, 0.943, 0.010, 4.43, 0.02, 0.35, 0.10, 0.88, 0.02,10.10, 0.09, 79.8, 6.0,"E,2",  1,Gaia,2M,Simbad,133.14921,+28.33082
HD 79210    ,3907, 35, 0.577, 0.013, 4.70, 0.02,-0.18, 0.10, 0.58, 0.02, 9.85, 0.51,161.6, 7.6,"E,2",  1,Gaia,2M,Simbad,138.59496,+52.68659
HD 7924     ,5075, 83, 0.782, 0.026, 4.58, 0.04,-0.14, 0.10, 0.81, 0.06, 9.71, 0.52, 58.8, 7.2,"E,1",  1,Gaia,2M,Simbad,020.49631,+76.71029
HD 82885    ,5376, 43, 1.003, 0.016, 4.40, 0.03, 0.32, 0.10, 0.92, 0.05,10.04, 0.15, 89.5, 5.3,"E,2",  1,Gaia,2M,Simbad,143.91460,+35.81014
HD 86728    ,5619, 44, 1.247, 0.021, 4.24, 0.03, 0.19, 0.10, 0.98, 0.06,10.03, 0.11, 67.1, 5.4,"E,2",  1,Gaia,2M,Simbad,150.25274,+31.92367
HD 88230    ,4085, 14, 0.640, 0.005, 4.64, 0.01,-0.16, 0.10, 0.63, 0.01,10.14, 0.09,205.2, 6.6,"E,2",  1,Gaia,2M,Simbad,152.84225,+49.45424
HD 95735    ,3464, 15, 0.392, 0.003, 4.86, 0.01,-0.41, 0.10, 0.40, 0.01, 9.91, 0.47,392.4, 7.5,"E,2",  1,Gaia,2M,Simbad,165.83414,+35.96988
GJ 176      ,3679, 77, 0.453, 0.022, 4.80, 0.03, 0.15, 0.10, 0.49, 0.04, 9.60, 0.53,106.3,10.0,"E,1",  1,Gaia,2M,Simbad,070.73240,+18.95817
GL 144      ,5077, 35, 0.735, 0.005, 4.61, 0.02,-0.06, 0.10, 0.80, 0.03, 9.37, 0.39,310.8, 3.7,"E,2",  1,Gaia,2M,Simbad,053.23269,-09.45826
GL 338B     ,3867, 37, 0.567, 0.014, 4.71, 0.02,-0.15, 0.10, 0.57, 0.02, 9.82, 0.50,159.0, 7.7,"E,1",  0,Gaia,2M,Simbad,138.60283,+52.68637
GL 412A     ,3497, 39, 0.398, 0.009, 4.87, 0.02,-0.40, 0.10, 0.41, 0.02, 9.73, 0.52,206.9, 8.8,"E,2",  1,Gaia,2M,Simbad,166.36907,+43.52678
GL 570B     ,4507, 58, 0.739, 0.019, 4.60, 0.03, 0.02, 0.10, 0.73, 0.03,10.00, 0.48,133.6, 5.7,"E,2",  0,Gaia,2M,Simbad,224.36056,-21.41155
GL 687      ,3413, 28, 0.418, 0.007, 4.85, 0.01,-0.09, 0.10, 0.43, 0.01, 9.59, 0.52,220.0, 9.2,"E,1",  1,Gaia,2M,Simbad,264.10791,+68.33914
GL 699      ,3222, 10, 0.187, 0.001, 5.11, 0.01,-0.39, 0.10, 0.16, 0.00, 9.61, 0.54,549.0, 9.5,"E,2",  0,Gaia,2M,Simbad,269.45207,+04.69339
GL 702A     ,5407, 52, 0.831, 0.004, 4.56, 0.02, 0.03, 0.10, 0.92, 0.03, 9.30, 0.35,     , 4.1,"E,3",  1,Gaia,2M,Simbad,271.36405,+02.49981
GL 702B     ,4393,149, 0.670, 0.009, 4.64, 0.02, 0.03, 0.10, 0.71, 0.03, 9.61, 0.52,     , 7.2,"E,3",  0,Gaia,2M,Simbad,271.36425,+02.49901
GL 876      ,3129, 19, 0.376, 0.006, 4.88, 0.01, 0.19, 0.10, 0.35, 0.01,10.09, 0.41,214.1,10.2,"E,1",  1,Gaia,2M,Simbad,343.31972,-14.26370
HIP 57087   ,3416, 53, 0.455, 0.018, 4.83, 0.03, 0.04, 0.10, 0.45, 0.03, 9.62, 0.52,102.6,10.6,"E,1",  1,Gaia,2M,Simbad,175.54622,+26.70657
HIP 74995   ,3442, 54, 0.299, 0.010, 4.97, 0.03,-0.10, 0.10, 0.30, 0.02, 9.61, 0.53,158.6,10.6,"E,1",  1,Gaia,2M,Simbad,229.86176,-07.72228
HIP 83043   ,3590, 45, 0.539, 0.016, 4.75, 0.02,-0.04, 0.10, 0.52, 0.02, 9.89, 0.48, 96.4, 9.7,"E,1",  1,Gaia,2M,Simbad,254.53687,+25.74416
